Issue key,Summary,Custom field (External Issue URL),Custom field (Git Pull Request),Custom field (Release Note),Components,is_magento
AC-14307,Investigate the latest version jquery/uppy and uppy,"",https://github.com/magento/magento2/commit/eb491c05,"Upgraded the Uppy file upload library to version 4.13.4 to enhance file upload capabilities, improve user experience, and address security vulnerabilities in file handling across the Adobe Commerce admin interface and frontend components.",Framework,true
AC-14403,Investigate the latest version jquery-validate,"",https://github.com/magento/magento2/commit/98b2848a,"Upgraded the jQuery Validate library to version 1.21.0 to enhance form validation capabilities, improve user experience, and ensure modern browser compatibility across all Adobe Commerce forms in both admin and frontend interfaces.",Framework,true
AC-14417,Investigate the latest version jquery-ui,"",https://github.com/magento/magento2/commit/77c589a6,"Upgraded the jQuery UI library to version 1.14.1 to enhance user interface widgets, improve accessibility, and ensure modern browser compatibility across all Adobe Commerce admin and frontend interface components.",Framework,true
AC-14418,Investigate the latest version less.js,"",https://github.com/magento/magento2/commit/98b2848a,"Upgraded the Less.js CSS preprocessor to version 4.2.2 to enhance CSS compilation performance, improve syntax support, and modernize the theme build process across all Adobe Commerce frontend and admin themes.",Framework,true
AC-14419,Investigate the latest version moment-timezone-with-data.js,"",https://github.com/magento/magento2/commit/98b2848a,"Upgraded the Moment Timezone library to version 0.5.43 to enhance timezone handling capabilities, update timezone data with latest IANA Time Zone Database changes, and improve date/time processing accuracy across all Adobe Commerce international and multi-timezone operations.",Framework,true
AC-14420,Investigate the latest version underscore.js,"",https://github.com/magento/magento2/commit/98b2848a,"Upgraded the Underscore.js utility library to version 1.13.7 to enhance JavaScript functional programming capabilities, improve data manipulation performance, and ensure modern browser compatibility across all Adobe Commerce frontend and admin interface components.",Framework,true
AC-14481,Add compatibility with the latest Composer version for 2.4.9,"","",Adobe Commerce 2.4.9 remains aligned with Composer's 2.x supported versions while preserving backward compatibility and avoiding build or deployment regressions. At the date of release Adobe Commerce 2.4.9 was tested with Composer versions 2.9.,Framework,false
AC-14548,Update allure-framework/allure-phpunit version to 3 and remove native dependency in 2.4.9-alpha1,"",https://github.com/magento/magento2/commit/87b8b34e,"In Adobe Commerce 2.4.9, the allure-framework/allure-phpunit dependency has been upgraded to major version 3, which adds support for PHP 8.4, PHP 8.5 and modernizes our Allure-based test reporting stack. The native dependency previously required by older Allure PHPUnit versions has been removed where applicable, simplifying setup and maintenance.",Framework,true
AC-14558,Migration form RabbitMQ to Apache ActiveMQ,"","","Due to the end-of-support risk associated with RabbitMQ 4, Adobe Commerce has initiated a strategic migration to Apache ActiveMQ Artemis to ensure long-term stability and support for its message queue infrastructure.
Adobe Commerce now supports the latest version of Apache ActiveMQ Artemis across release lines 2.4.9, 2.4.8, 2.4.7 and 2.4.6.
Compatibility with RabbitMQ 4 is retained to support customers who prefer to stay on the existing MQ service.
ActiveMQ is now fully supported on Adobe Commerce Cloud, including AWS ActiveMQ for Cloud Native deployments.
ActiveMQ STOMP configuration supported for queue consumers and publishers.
This migration ensures Adobe Commerce remains on a supported, stable, and scalable MQ framework, reducing risk from RabbitMQ's unpredictable support lifecycle and improving long-term platform health.",Framework,false
AC-14568,Migrate from TinyMCE to Hugerte.org,"","","Due to the end of support for TinyMCE 5 and 6 and licensing incompatibilities with TinyMCE 7, The current implementation of Adobe Commerce WYSIWYG editor is migrated from TinyMCE to the open-source HugeRTE editor (https://hugerte.org/). 
This migration ensures Adobe Commerce remains compliant with open-source licensing, avoids known TinyMCE 6 vulnerabilities, and delivers a modern, supported editing experience for merchants and developers.",Framework,false
AC-14604,Add Full Valkey 8.x support for 2.4.9-alpha2,"","","Adobe Commerce 2.4.9 has a full CLI commands support for Valkey, mirroring currently existing Redis functionality. Admin and cloud configuration updated to allow seamless Valkey setup.
This update ensures Adobe Commerce remains future-proof and performant by supporting Valkey, giving merchants and developers a reliable alternative to Redis as it approaches end-of-life.",Framework,false
AC-14808,PHPUnit 12 upgrade,"","","Updated the phpunit/phpunit composer dependencies to compatible version - ""phpunit/phpunit"":""10.x""",Framework,false
AC-15133,Upgrade chart.js dependency to the latest version,"",https://github.com/magento/magento2/commit/657f983e,The chart.js dependency is upgraded to the latest version 4.5.0.,Framework,true
AC-15160,Migration from Laminas MVC,"","","Adobe Commerce has introduced a native MVC implementation, replacing the legacy Laminas MVC, to ensure long-term compatibility and stability beyond PHP 8.5. This change strengthens performance, reduces external dependencies, and provides a more future-ready foundation for Commerce",Framework,false
AC-15170,Add official support for Symfony 7.4 LTS and PHP 8.5 in Adobe Commerce 2.4.9,"",https://github.com/magento/magento2/commit/c127d10b,"As part of the Adobe Commerce 2.4.9 platform updates, all Symfony dependencies used by the magento/composer package have been updated to the latest Symfony LTS 7.4 versions. This aligns Commerce's Composer tooling with the current Symfony LTS line and removes previous dependency constraints related to older Symfony versions. In addition all custom classes extending Symfony core classes have updated type declarations and method signatures aligned with the latest Symfony requirements before upgrading to Adobe Commerce 2.4.9. This will prevent compatibility issues and ensure a smooth transition to the updated framework components.",Framework,true
AC-15461,Migration New Relic from REST v2 to NerdGraph (GraphQL),"","","This release enhances the Magento_NewRelicReporting module to support New Relic's NerdGraph (GraphQL) Change Tracking API while fully preserving the existing REST v2 deployment marker integration. The change delivers richer deployment metadata, regional endpoint support (US/EU), and configurability through Admin settings without breaking existing setups.",Framework,false
AC-15615,PHP 8.5 Compatibility for Adobe Commerce 2.4.9,"","","Starting with Adobe Commerce 2.4.9, the platform is fully compatible with PHP 8.5, while retaining support for PHP 8.4 and allowing PHP 8.3 for upgrade-only scenarios. This work modernizes core code, dependencies, and tools so merchants can safely move to newer PHP versions ahead of PHP 8.4 end of support, maintaining PCI compliance and long-term platform health.",Other,false
AC-15758,Remove PHP 8.2 support and ensure the compatibility with PHP 8.3 and latest PHP versions,"","","Starting with Adobe Commerce 2.4.9, PHP 8.2 is no longer supported. The platform now targets PHP 8.3 and later PHP versions, with core code, dependencies, and tooling updated to run cleanly and reliably on PHP 8.4 and 8.5.",Other,false
AC-15823,Replacing Zend_Cache with symfony/cache component,"","","Starting with Adobe Commerce 2.4.9, the deprecated Zend_Cache component has been replaced by the Symfony Cache component. This update enhances cache performance, maintainability, and ensures long-term compatibility with PHP 8.x and future platform updates. Existing cache backends and cache management commands remain fully supported, with no changes required for current integrations.",Other,false
AC-16113,Refactor SRI Storage to Be More Performance Efficient,"",https://github.com/magento/magento2/commit/bc83cd2c,"SRI hash storage now generates separate files per area, theme, and locale, instead of a single large sri-hashes.json. This change ensures only the relevant hash file is loaded for each page, improving performance and reducing memory usage on stores with multiple themes or locales.","PCI, Security",true
AC-16117,"Add compatibility with RabbitMQ 4.2 for 2.4.9, 2.4.8-p5, 2.4.7-p10, 2.4.6-p15 and 2.4.5-p17","","","",Framework,false
AC-16122,"Add compatibility with Valkey Support with 9.x LTS for 2.4.9, 2.4.8-p5, 2.4.7-p10, 2.4.6-p15 and 2.4.5-p17","","","",Framework,false
AC-16245,Captcha / reCAPTCHA is not working for API / GraphQL,"",https://github.com/magento/magento2/commit/fd7f30ee,"In Adobe Commerce 2.4.9, when CAPTCHA (or reCAPTCHA) is enabled for the Create Account form, the same CAPTCHA validation is now enforced for customer account creation via REST and GraphQL APIs.",Other,true
AC-16403,Check compatibility with the latest minor version of OpenSearch 3,"","","",Framework,false
AC-16410,Enhance REST API to support ability to apply Store Credit for admin-managed orders,"","","",Other,false
AC-16533,Add Support for MariaDB 11.8 and 12.x in Adobe Commerce,"","","",Framework,false
AC-16683,Ensure clearCart GraphQL mutation is available in Open Source,"",https://github.com/magento/magento2/commit/4449d914,"With Adobe Commerce 2.4.9, the clearCart GraphQL mutation is now available to all Open Source users. Previously, this mutation was only accessible in Adobe Commerce, but it is now part of the standard GraphQL cart functionality for Open Source as well.
Documentation for the mutation has been updated to reflect its availability in Open Source for version 2.4.9.
See [clearCart GraphQL mutation documentation](https://developer.adobe.com/commerce/webapi/graphql/schema/cart/mutations/clear-cart/).",GraphQL,true
AC-8253,Only require one enabled 2FA provider to be configured per user,"",https://github.com/magento/security-package/commit/71e7936b,"Admin users are now required to configure only one of the merchant's enabled 2FA providers (for example, Google Authenticator or U2F) to access the Admin panel. Additional enabled providers can be configured later as needed. Previously, when multiple 2FA providers were enabled (e.g., Google Authenticator and U2F), every Admin user was required to configure all enabled providers before they could sign in. This created friction for users who did not have access to all factors (such as a hardware key for U2F).",Security,true
ACP2E-3397,[Feature Request] Content staging preview in mobile view,"",https://github.com/magento/magento2/commit/520f9e30,"The staging preview feature in the admin panel now enables browser-simulated mobile device previews to be rendered accurately, providing a visual representation of how the staging update will appear on a mobile device.",Staging & Preview,true
ACP2E-4358,Adding a possibility to keep inheritance of product gallery in REST API when updating a product in store view level,"",https://github.com/magento/magento2/commit/f7bbcb4e,"Updating product via REST API in a store scope no longer causes product images and videos from inheriting changes from global scope if the media_gallery_entries is omitted from the payload or set to NULL to prevent any changes in the product gallery in that scope. Additionally, it is now possible to restore scope inheritance for product images and video via REST API by setting the corresponding field to NULL.",APIs,true
BUNDLE-3459,Vaulting Google Pay via the Account Area,"","","In Adobe Commerce 2.4.9, customers can now vault their Google Pay cards via the account area when Google Pay Vault is enabled in Braintree. Vaulted cards appear under stored payment methods, can be used for future purchases at checkout, and can be deleted by the customer. This extends vaulting support beyond Cards and PayPal to Google Pay.",Braintree,false
BUNDLE-3461,Link Magento Order to Braintree Portal Order,"","","In Adobe Commerce 2.4.9, a Braintree Portal Link is now added to the order details in the Magento Admin. Clicking the link opens the related transaction in the Braintree Portal (in a new tab), using the Merchant ID and Transaction ID from the Magento order. This allows direct cross-referencing without logging into both systems separately.",Braintree,false
BUNDLE-3462,Real Time Account Updater (RTAU),"","","The Real Time Account Updater (RTAU) feature in Adobe Commerce 2.4.9 for Braintree ensures that vaulted Visa, Mastercard, and Discover card details are automatically updated when cards expire or are replaced. This minimizes failed payments, keeps Magento Vault current, and skips unsupported types (prepaid, Apple Pay, Google Pay) without errors.",Braintree,false
BUNDLE-3464,ELO Card type support for Braintree Card Payments,"","","In Adobe Commerce 2.4.9, support for the ELO card type has been added to Braintree Payments. Admins can now enable ELO in the credit card configuration, and customers can successfully place orders using ELO cards at checkout, ensuring seamless transactions through Braintree.",Braintree,false
BUNDLE-3475,Pay Upon Invoice,"","","For Adobe Commerce 2.4.9 (Braintree extension), a new local payment method ""Pay Upon Invoice"" has been added for German buyers. Pay Upon Invoice is a Buy Now, Pay Later (BNPL) option powered by PayPal + Ratepay (""Rechnungskauf mit Ratepay"") that lets customers receive goods first and pay the invoice within 30 days, without needing a PayPal account. Because it's not an instant payment, order finalisation is driven by a server-side webhook from PayPal.",Braintree,false
BUNDLE-3476,Add offers to the Google Pay Express Pay Sheet,"","","For the Braintree extension in Adobe Commerce 2.4.9, the Google Pay Express Pay Sheet now supports promo/offer codes. Shoppers can apply, view, and remove Magento cart promotions directly within the Google Pay sheet, ensuring express checkout customers receive the same discounts and incentives as standard checkout flows.",Braintree,false
BUNDLE-3477,Add Offers to the Apple Pay Express Pay Sheet,"","","For the Braintree extension in Adobe Commerce 2.4.9, the Apple Pay Express Pay Sheet now supports promo/offer codes. Shoppers can apply a coupon directly within the Apple Pay sheet, so express checkout users benefit from the same discounts and campaigns as standard checkout flows.",Braintree,false
BUNDLE-3478,Pay with Apple Pay on Chrome and Firefox,"","","For the Braintree extension in Adobe Commerce 2.4.9, Apple Pay can now be used on Chrome and Firefox, not just Safari. When Apple Pay Express is enabled, Apple Pay buttons are available across supported storefront locations, and customers complete payment by scanning a code with their iPhone.",Braintree,false
BUNDLE-3479,Server Side Shipping Callback,"","","For the Braintree extension in Adobe Commerce 2.4.9, the PayPal Express shipping callback has been moved from client‑side to server‑side. This provides dynamic shipping methods, real‑time cost calculations, and accurate cart‑level details directly in the PayPal modal, improving reliability and laying the groundwork for future features such as Contact Module support, app‑switch flows, and Venmo Express.",Braintree,false
BUNDLE-3480,PayPal Contact Module,"","","For the Braintree extension in Adobe Commerce 2.4.9, a new PayPal Contact Module is introduced for U.S. merchants. When enabled, buyers using PayPal Express can view and update the email address and phone number shared with the merchant directly inside the PayPal modal during express flows (PDP, mini‑cart, cart, checkout express). The chosen contact details are then stored on the Adobe Commerce order.",Braintree,false
BUNDLE-3481,BLIK (Local Payment Method),"","","For the Braintree extension in Adobe Commerce 2.4.9, BLIK has been added as a new local payment method for Polish shoppers. This enables secure, bank-based BLIK payments within the existing Braintree Local Payment Methods (LPM) flow, improving checkout convenience and conversion for customers in Poland.",Braintree,false
BUNDLE-3485,Cardinal Integration Update CSP Policy,"","","For the Braintree extension in Adobe Commerce 2.4.9, the Content Security Policy (CSP) has been updated to support the latest Cardinal (3‑D Secure) integration requirements. This ensures that all Cardinal-hosted scripts, iframes, and related resources used during 3‑D Secure flows are allowed by the browser's CSP, preventing blocked requests and broken challenge/verification experiences.",Braintree,false
BUNDLE-3493,braintree branch should be updated with PHP 8.5 support,"","","The Braintree payment extension has been updated to support the latest PHP 8.5 runtime, while maintaining compatibility with PHP 8.4.",Other,false
LYNX-786,Gift options should not persist on empty cart,"","","Fixed an issue where gift options persisted on an empty cart after all items were removed. Gift options now clear automatically when the cart is emptied, ensuring a consistent user experience similar to coupon handling.",Other,true
LYNX-787,applyGiftCardToCart mutation error handling,"","","Enhanced error handling for the applyGiftCardToCart mutation to provide more specific messages, such as expired or zero-balance gift cards, improving the user experience. Additionally, the backend now prevents applying extra gift cards to orders that are already free.",Other,false
LYNX-788,Enhance Gift Options handling during cart merge,"","","Enhanced gift options handling during cart merges to ensure a more consistent user experience. Gift options now follow a prioritized merging logic, preventing unintended overrides when a guest user logs in and their cart is merged with an existing customer cart.",Other,true
LYNX-790,Add clear wishlist operation,"","","Added a new clearWishlist mutation to support bulk operations, allowing all items to be removed from a wishlist in a single action.",Other,true
LYNX-815,Introduce exchangeExternalCustomerToken mutation,"","",Introduced new GraphQL mutation exchangeExternalCustomerToken that authenticates users via an integration token and returns both the customer token and associated customer data,Other,true
LYNX-821,Documentation for GraphQL API mutations,"","","Documentation updated for GraphQL mutations clearWishlist mutation (2.4.9), confirmCancelOrder mutation (2.4.8), requestGuestOrderCancel mutation (2.4.8), resendConfirmationEmail mutation (2.4.8), exchangeExternalCustomerToken mutation (2.4.9)",Other,false
LYNX-867,"[AC] Introduce GraphQL queries returning applied group, segments and cart rules ids","","","GraphQL queries exposed to retrieve encoded uid of applied customer group, customer segments and cart rules.",Other,true
LYNX-889,[AC-2.4.9] Merging guest and customer cart logic using Admin Configuration,"","",A new admin configuration option has been introduced to control how guest and customer carts are merged when a shopper signs in. This enhancement gives you flexibility to define the cart merge behavior that best fits your business needs.,GraphQL,true
LYNX-892,[AC-2.4.9] Introduce OrderTotal.grand_total_excl_tax field,"","","A new field, OrderTotal.grand_total_excl_tax, has been added to the GraphQL order response. This field provides the order's grand total excluding tax, making it easier to access tax-exclusive totals directly from the API.

Benefits:

- Easily retrieve the grand total excluding tax for any order via GraphQL.
- Simplifies integration with external systems that require tax-exclusive totals.
- Reduces the need for custom calculations on the client side.",Other,true
LYNX-898,[AC-2.4.9] Introduce REST WebAPI for retrieving customer tokens,"","","A new REST WebAPI endpoint has been introduced to simplify the process of retrieving customer tokens. This enhancement supports integrations such as social login and streamlines customer authentication flows.
Key Features:
 - New endpoint: POST /V1/customers/:customerId/token
- Allows you to generate a token for any customer using their customer ID.
- Supports checking if a customer exists, creating a customer if needed, and retrieving their token—all via REST API.
- Access to this endpoint is protected by appropriate permissions to ensure security.",Other,false
LYNX-913,[AC-2.4.9] Getting historical orders with out of stock products,"","",Historical orders now show product details even if they are now out-of-stock.,GraphQL,true
LYNX-941,[AC-2.4.9] [CE] Implement ReCaptcha for missing GraphQL mutations,"","","The ReCaptcha validation is added to updateCustomer, updateCustomerV2, and contactUs mutations.",GraphQL,true
LYNX-942,[AC-2.4.9] [EE] Implement ReCaptcha for missing GraphQL mutations,"","",The ReCaptcha validation is added to applyCouponsToCart mutation.,GraphQL,true
LYNX-955,[AC-2.4.9] GraphQL API Customer ID value,"","","The Customer ID field in the B2B GraphQL API is now fully supported and available for use in your company management queries and mutations. Previously, this field was deprecated and returned null, which limited its functionality. With this update, the Customer ID field is restored and will return the correct value as expected.
You can now reliably use the Customer ID field in GraphQL queries and mutations for B2B company management.",GraphQL,true
